,russian_title,itm_title,ganers,rating,year
572,Судьба/Ночь схватки: Бесконечный мир клинков — Пролог,Fate/stay night: Unlimited Blade Works Prologue,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.0,2014
573,Волейбол!! Победители и проигравшие,Haikyuu!! Movie 2: Shousha to Haisha,"['Спорт', 'Школа', 'Сёнен', 'Командный спорт']",8.0,2015
574,Моя геройская академия 3 сезон,Boku no Hero Academia 3rd Season / heroaca3,"['Экшен', 'Супер сила', 'Школа', 'Сёнен']",8.0,2018
575,Фури-кури,Furi Kuri,"['Экшен', 'Комедия', 'Безумие', 'Меха', 'Пародия', 'Фантастика', 'Психологическое']",8.0,2000
576,Детектив Конан: Потерянное в памяти,Detective Conan Movie 04: Captured in Her Eyes,"['Приключения', 'Детектив', 'Комедия', 'Полиция', 'Сёнен']",8.0,2000
577,Стальная тревога? Фумоффу,Fullmetal Panic? Fumoffu / Fumoffu,"['Экшен', 'Комедия', 'Школа', 'Гэг юмор']",8.0,2003
578,Летние войны,Summer Wars,"['Удостоено наград', 'Фантастика', 'Комедия']",8.0,2009
579,Детектив Конан: Последний волшебник века,Detective Conan Movie 03: The Last Wizard of the Century,"['Приключения', 'Комедия', 'Детектив', 'Сёнен', 'Полиция']",8.0,1999
580,Пираты «Чёрной лагуны»,Black Lagoon 1st Season / BL,"['Экшен', 'Сейнен', 'Взрослые сейю', 'Организованная преступность']",8.0,2006
581,Трогательный комплекс,Lovely★Complex,"['Комедия', 'Романтика', 'Сёдзе', 'Школа']",8.0,2007
582,Йона на заре,Akatsuki no Yona,"['Экшен', 'Приключения', 'Фэнтези', 'Романтика', 'Сёдзе']",8.0,2014
583,Детектив Конан: Реквием детективов,Detective Conan Movie 10: Requiem of the Detectives / Case Closed: Movie 10,"['Приключения', 'Комедия', 'Детектив', 'Сёнен', 'Полиция']",8.0,2006
584,"Как и ожидалось, моя школьная романтическая жизнь не удалась 2 OVA",Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA / Oregairu Zoku OAD,"['Комедия', 'Романтика', 'Школа', 'Любовный многоугольник']",8.0,2016
585,Этот замечательный мир! 2 OVA,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo! / konosuba OAD 2,"['Приключения', 'Комедия', 'Фэнтези', 'Исекай', 'Реинкарнация', 'Пародия']",8.0,2017
586,Легенда о героях Галактики: Новый тезис. Межзвёздная война — Часть 1,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Драма', 'Военное', 'Фантастика', 'Космос', 'Взрослые сейю']",8.0,2019
587,Ура мечте! 3 сезон,BanG Dream! 3rd Season,['Музыка'],8.0,2020
588,Мобильный воин Гандам: Ведьма с Меркурия 2 сезон,Kidou Senshi Gundam: Suisei no Majo Season 2,"['Меха', 'Фантастика', 'Школа', 'Космос', 'Экшен']",8.0,2023
589,История юного Ханады,Hanada Shounen-shi,"['Комедия', 'Драма', 'Повседневность', 'Сверхъестественное', 'Сейнен']",8.0,2002
590,Пираты «Чёрной лагуны»: Кровавая тропа Роберты,Black Lagoon OVA,"['Экшен', 'Сейнен', 'Взрослые сейю', 'Организованная преступность']",8.0,2010
591,Некий научный Рейлган S,Toaru Kagaku no Railgun S / toaru s,"['Экшен', 'Фантастика', 'Супер сила', 'Фэнтези']",8.0,2013
592,Рубаки Некст,Slayers Next,"['Приключения', 'Комедия', 'Фэнтези']",8.0,1996
593,Ди Грэй-мен,Grayman,"['Супер сила', 'Демоны', 'Экшен', 'Приключения', 'Сёнен', 'Фэнтези']",8.0,2006
594,Граница пустоты 3: Оставшееся чувство боли,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu / KnK1,"['Экшен', 'Детектив', 'Драма', 'Сверхъестественное', 'Триллер']",8.0,2008
595,Маги: Лабиринт магии,Magi: The Labyrinth of Magic / magi,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",8.0,2012
596,Двенадцать королевств,Juuni Kokuki,"['Экшен', 'Приключения', 'Фэнтези', 'Исекай']",8.0,2002
597,Повесть о стране цветных облаков 2 сезон,Saiunkoku Monogatari 2nd Season,"['Приключения', 'Фэнтези', 'Исторический', 'Романтика', 'Обратный гарем', 'Сёдзе']",8.0,2007
598,Легенда о Серебряном Клыке: Падающая звезда Гин,Ginga Nagareboshi Gin / gng,"['Приключения', 'Драма', 'Сёнен', 'Экшен', 'Антропоморфизм']",8.0,1986
599,Персона 3: Зима перерождения,Persona 3 the Movie 4: Winter of Rebirth / P3,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.0,2016
600,Ура мечте! Фильм: Эпизод о Розелии — II,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,['Музыка'],8.0,2021
601,Скейт: Бесконечность,SK∞,"['Спорт', 'Машины']",8.0,2021
602,Расколотая битвой синева небес: Трёхлетнее соглашение,Doupo Cangqiong: San Nian Zhi Yue,"['Экшен', 'Фэнтези', 'Боевые искусства']",8.0,2021
603,Время Евы ONA,Eve no Jikan,"['Фантастика', 'Повседневность']",8.0,2008
604,Мобильный воин Гандам: Восьмой взвод МС,Kidou Senshi Gundam: Dai 08 MS Shoutai / 8th Team,"['Приключения', 'Драма', 'Меха', 'Романтика', 'Фантастика', 'Военное']",8.0,1996
605,Президент студсовета — горничная!,Kaichou wa Maid-sama! / KaichouMaid,"['Комедия', 'Романтика', 'Школа', 'Сёдзе']",8.0,2010
606,"Как и ожидалось, моя школьная романтическая жизнь не удалась",Yahari Ore no Seishun Love Comedy wa Machigatteiru. / Oregairu,"['Комедия', 'Романтика', 'Школа', 'Любовный многоугольник']",8.0,2013
607,Токийское восьмибалльное,Tokyo Magnitude 8.0,"['Драма', 'Удостоено наград']",8.0,2009
608,Ты вкусняшка?,Omae Umasou Da na,"['Приключения', 'Детское', 'Экшен', 'Фэнтези', 'Антропоморфизм', 'Уход за детьми']",8.0,2010
609,Дом из маленьких кубиков,Tsumiki no Ie,"['Драма', 'Удостоено наград']",8.0,2008
610,Первые шаги 2 сезон,Baby Steps 2nd Season,"['Школа', 'Сёнен', 'Спорт']",8.0,2015
611,Повар-боец Сома: Третье блюдо,Shokugeki no Souma: San no Sara,"['Этти', 'Школа', 'Сёнен', 'Гурман']",8.0,2017
612,Зомбилэнд-Сага: Месть,Zombieland Saga Revenge,"['Пародия', 'Музыка', 'Комедия', 'Сверхъестественное', 'Идолы (девушки)']",8.0,2021
613,Пуй-пуй Молькар,Pui Pui Molcar,"['Детское', 'Комедия', 'Машины', 'Антропоморфизм']",8.0,2021
614,Эф — история мелодий,ef: A Tale of Melodies. / ef2,"['Драма', 'Детектив', 'Романтика', 'Сверхъестественное']",8.0,2008
615,Кланнад,Clannad,"['Драма', 'Романтика', 'Школа', 'Сверхъестественное']",8.0,2007
616,Одному лишь Богу ведомый мир III: Богини,Kami nomi zo Shiru Sekai: Megami-hen / twgok 3,"['Комедия', 'Романтика', 'Сёнен', 'Гарем', 'Сверхъестественное', 'Культура отаку']",8.0,2013
617,Ария: Ариетта,Aria the OVA: Arietta / aria3,"['Фантастика', 'Повседневность', 'Фэнтези', 'Сёнен', 'Ияшикей']",8.0,2007
618,Достучаться до тебя,Kimi ni Todoke,"['Романтика', 'Школа', 'Сёдзе', 'Драма']",8.0,2009
619,Мёд и клевер,Hachimitsu to Clover,"['Комедия', 'Драма', 'Романтика', 'Дзёсей', 'Любовный многоугольник', 'Изобразительное искусство', 'Взрослые сейю']",8.0,2005
620,Евангелион 1.11: Ты (не) один,Evangelion Shin Gekijouban: Jo / Eva:1.0,"['Экшен', 'Меха', 'Фантастика', 'Психологическое', 'Драма', 'Удостоено наград']",8.0,2007
621,Детектив Конан: Квартал молчания,Detective Conan Movie 15: Quarter of Silence,"['Приключения', 'Комедия', 'Детектив', 'Сёнен', 'Полиция']",8.0,2011
622,Граница пустоты: Благословение будущего,Kara no Kyoukai Movie: Mirai Fukuin / KnK: MF,"['Детектив', 'Драма', 'Сверхъестественное']",8.0,2013
623,"Звучи, эуфониум!",Ufonium,"['Музыка', 'Школа', 'Драма', 'Исполнительское искусство']",8.0,2015
624,Стальной алхимик: Братство — Спецвыпуски,Fullmetal Alchemist: Brotherhood Specials,"['Драма', 'Фэнтези', 'Сёнен', 'Военное']",8.0,2009
625,Волейбол!! Начало и конец,Haikyuu!! Movie 1: Owari to Hajimari,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.0,2015
626,Власть книжного червя,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,"['Фэнтези', 'Исекай', 'Реинкарнация']",8.0,2019
627,Аватар короля. Фильм,Quanzhi Gaoshou: Dianfeng Rongyao,"['Экшен', 'Игры']",8.0,2019
628,Дом теней 2 сезон,Shadows House TV-2,"['Фэнтези', 'Детектив', 'Сейнен']",8.0,2022
629,Песнь ночных сов,Yofukashi no Uta,"['Романтика', 'Сверхъестественное', 'Вампиры', 'Сёнен']",8.0,2022
630,Школьный переполох 2 сезон,School Rumble Ni Gakki / sukuran 2,"['Комедия', 'Романтика', 'Школа', 'Сёнен', 'Гэг юмор', 'Любовный многоугольник']",8.0,2006
631,Адзуманга Дайо,Azumanga Daiou The Animation / azu,"['Комедия', 'Школа', 'CGDCT', 'Гэг юмор']",8.0,2002
632,Касание,Touch,"['Драма', 'Романтика', 'Школа', 'Спорт', 'Сёнен', 'Любовный многоугольник', 'Командный спорт']",8.0,1985
633,Призрак в доспехах: Синдром одиночки 2 — Одиннадцать индивидуалистов,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven / GitS: SAC 2nd GIG Movie,"['Экшен', 'Меха', 'Фантастика', 'Взрослые сейю']",8.0,2006
634,Наруто,Naruto: Shounen Hen,"['Экшен', 'Боевые искусства', 'Сёнен', 'Приключения', 'Фэнтези']",8.0,2002
635,Волчий дождь: Финал,Wolfs Rain,"['Приключения', 'Драма', 'Фантастика', 'Сверхъестественное', 'Психологическое']",8.0,2004
636,Герой Юна Юки: История Суми Вашио — Клятва,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,"['Драма', 'Фэнтези', 'Повседневность', 'Махо-сёдзё']",8.0,2017
637,Скрытые вещи,Kakushigoto,"['Комедия', 'Сёнен', 'Уход за детьми', 'Гэг юмор', 'Культура отаку']",8.0,2020
638,Токийские мстители,Tokyo Revengers,"['Экшен', 'Драма', 'Сёнен', 'Сверхъестественное', 'Правонарушители', 'Путешествие во времени']",8.0,2021
639,Мастера Меча Онлайн: Прогрессив — Ария в беззвёздной ночи,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"['Экшен', 'Приключения', 'Фэнтези', 'Игры']",8.0,2021
640,Хололайв: Альтернатива,Hololive Alternative,['Музыка'],8.0,2021
641,Время Евы,Eve no Jikan (Movie),"['Фантастика', 'Повседневность']",8.0,2010
642,Достучаться до тебя 2 сезон,Kimi ni Todoke 2nd Season / kimitodo 2,"['Романтика', 'Школа', 'Сёдзе', 'Драма']",8.0,2011
643,Чудные вещи,Hyouge Mono,"['Исторический', 'Самураи', 'Сейнен', 'Взрослые сейю', 'Изобразительное искусство']",8.0,2011
644,Рыцари Зодиака: Утерянный холст — Владыка Преисподней,Saint Seiya: The Lost Canvas - Meiou Shinwa / loscan,"['Экшен', 'Приключения', 'Боевые искусства', 'Сёнен', 'Супер сила', 'Сверхъестественное']",8.0,2009
645,Триплексоголик,xxxHOLiC TV,"['Комедия', 'Детектив', 'Драма', 'Сверхъестественное', 'Сейнен']",8.0,2006
646,Дюрарара!! 2: Наследие,Durarara!!x2 Shou,"['Экшен', 'Детектив', 'Сверхъестественное']",8.0,2015
647,Призрак в доспехах 2.0,Koukaku Kidoutai 2.0,"['Экшен', 'Меха', 'Фантастика', 'Психологическое', 'Полиция', 'Сейнен', 'Взрослые сейю']",8.0,2008
648,Восхождение героя щита,Tate no Yuusha no Nariagari,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Исекай']",8.0,2019
649,Код Гиас: Восставший Лелуш — Император,Code Geass: Hangyaku no Lelouch III - Oudou,"['Экшен', 'Военное', 'Фантастика', 'Супер сила', 'Меха', 'Школа']",8.0,2018
650,Моя геройская академия: Восхождение героев,Boku no Hero Academia the Movie 2: Heroes:Rising,"['Экшен', 'Сёнен', 'Супер сила']",8.0,2019
651,Сон в замке демона,Maou-jou de Oyasumi,"['Демоны', 'Комедия', 'Фэнтези', 'Сёнен']",8.0,2020
652,Замахнись сильнее: Летний турнир,Ookiku Furikabutte: Natsu no Taikai-hen / Oofuri 2,"['Спорт', 'Сейнен', 'Командный спорт']",8.0,2010
653,Союз Серокрылых,Haibane Renmei,"['Детектив', 'Психологическое', 'Драма', 'Фэнтези']",8.0,2002
654,Бродяга Кэнсин: Прошедшие годы,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen / Seisouhen,"['Драма', 'Исторический', 'Самураи', 'Романтика', 'Сёнен']",8.0,2001
655,Мобильный воин Гандам 0080: Карманная война,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou / MSG 0080,"['Военное', 'Фантастика', 'Космос', 'Драма', 'Меха']",8.0,1989
656,Безоблачное завтра,Nagi no Asu kara,"['Драма', 'Фэнтези', 'Романтика', 'Любовный многоугольник']",8.0,2013
657,Дюрарара!! 2: Продолжение,Durarara S3,"['Экшен', 'Детектив', 'Сверхъестественное']",8.0,2015
658,Повторная жизнь,ReLIFE,"['Драма', 'Романтика', 'Школа']",8.0,2016
659,Красноволосая принцесса Белоснежка 2 сезон,Akagami no Shirayuki-hime 2nd Season,"['Драма', 'Фэнтези', 'Романтика', 'Сёдзе']",8.0,2016
660,Юри на льду: Спецвыпуск,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,"['Музыка', 'Спорт']",8.0,2017
661,Девчонка не промах: Экстра,High Score Girl: Extra Stage,"['Комедия', 'Школа', 'Сейнен', 'Любовный многоугольник', 'Романтический подтекст', 'Игры']",8.0,2019
662,Девчонка не промах 2 сезон,High Score Girl II,"['Комедия', 'Школа', 'Сейнен', 'Любовный многоугольник', 'Романтический подтекст', 'Игры']",8.0,2019
663,Полиция будущего: Восстание,Kidou Keisatsu Patlabor 2 the Movie,"['Детектив', 'Драма', 'Меха', 'Фантастика', 'Полиция', 'Военное', 'Удостоено наград']",8.0,1993
664,Патэма наоборот,Sakasama no Patema,"['Фантастика', 'Удостоено наград', 'Приключения']",8.0,2013
665,Драконий жемчуг,Dragonball,"['Приключения', 'Комедия', 'Фэнтези', 'Боевые искусства', 'Сёнен', 'Супер сила', 'Экшен']",8.0,1986
666,Кулак Северной звезды,Hokuto no Ken,"['Экшен', 'Драма', 'Боевые искусства', 'Фантастика', 'Сёнен']",8.0,1984
667,Лиричная волшебница Наноха: Ас,Mahou Shoujo Lyrical Nanoha A`s / na2,"['Экшен', 'Комедия', 'Драма', 'Супер сила', 'Махо-сёдзё']",8.0,2005
668,Принц тенниса: Национальный турнир. Финал,Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,"['Сёнен', 'Спорт']",8.0,2008
669,Мэйджор: Мяч дружбы,Major Movie: Yuujou no Winning Shot / Gekijouban Major,"['Экшен', 'Спорт', 'Сёнен', 'Командный спорт']",8.0,2008
670,Ария: Происхождение — В маленьком секретном месте...,Aria the Origination: Sono Choppiri Himitsu no Basho ni...,"['Комедия', 'Сёнен', 'Повседневность', 'Ияшикей']",8.0,2008
671,Работа!! 3 сезон,Working!!!,"['Комедия', 'Романтика', 'Сейнен', 'Работа']",8.0,2015
672,Военная хроника маленькой девочки,Youjo Senki,"['Военное', 'Фэнтези', 'Экшен', 'Исекай', 'Реинкарнация']",8.0,2017
673,Дракон-горничная госпожи Кобаяси,Kobayashi-san Chi no Maid Dragon / Maid Dragon,"['Фэнтези', 'Повседневность']",8.0,2017
674,Повар-боец Сома: Третье блюдо — Часть II,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"['Этти', 'Школа', 'Сёнен', 'Гурман']",8.0,2018
675,Живая любовь! Суперзвезда!!,Love Live! Superstar!!,"['Музыка', 'Повседневность', 'Школа', 'Идолы (девушки)']",8.0,2021
676,Великий из бродячих псов: Шуточные истории,Bungou Stray Dogs Wan!,"['Комедия', 'Сверхъестественное']",8.0,2021
677,Бездомный бог,Noragami,"['Экшен', 'Сёнен', 'Фэнтези', 'Демоны']",8.0,2014
678,Железобетон,Tekkon Kinkreet,"['Приключения', 'Экшен', 'Сверхъестественное', 'Психологическое', 'Удостоено наград']",8.0,2006
679,Порко Россо,Kurenai no Buta,"['Экшен', 'Приключения', 'Комедия', 'Драма', 'Исторический', 'Романтика', 'Военное', 'Удостоено наград']",8.0,1992
680,Канон (2006),Kanon (2006),"['Драма', 'Романтика', 'Сверхъестественное']",8.0,2006
681,Кобато,Kobato.,"['Комедия', 'Драма', 'Фэнтези', 'Романтика', 'Ияшикей']",8.0,2009
682,Семёрка идолов: Вибрато,IDOLiSH7 Vibrato,"['Музыка', 'Драма', 'Идолы (парни)']",8.0,2018
683,Девушки и танки: Финал,Girls & Panzer: Saishuushou Part 1 / GuP Saishuushou,"['Военное', 'Школа']",8.0,2017
684,Ария: Благословение,Aria the Benedizione,"['Фантастика', 'Повседневность', 'Фэнтези', 'Сёнен', 'Ияшикей']",8.0,2021
685,Расколотая битвой синева небес 5,Doupo Cangqiong: Nian Fan,"['Экшен', 'Приключения', 'Фэнтези', 'Боевые искусства']",8.0,Онгоинг
686,Макросс Фронтир: Крылья разлуки,Macross F Movie 2: Sayonara no Tsubasa,"['Экшен', 'Меха', 'Военное', 'Музыка', 'Романтика', 'Фантастика', 'Космос', 'Удостоено наград']",7.9,2011
687,Деревенская глубинка,Non Non Biyori,"['Школа', 'Повседневность', 'Сейнен', 'CGDCT', 'Ияшикей']",7.9,2013
688,Остров сокровищ,Takarajima,"['Приключения', 'Детектив', 'Исторический', 'Драма']",7.9,1978
689,Фантом: Реквием по Призраку,phantom tv,"['Экшен', 'Драма', 'Триллер', 'Сейнен', 'Организованная преступность']",7.9,2009
690,Пингвиний барабан,Mawaru Penguindrum,"['Комедия', 'Детектив', 'Драма', 'Психологическое', 'Безумие']",7.9,2011
691,Макросс: Помнишь ли нашу любовь?,Macross: Do You Remember Love? / Macross DYRL,"['Экшен', 'Космос', 'Меха', 'Романтика', 'Военное', 'Музыка', 'Фантастика']",7.9,1984
692,Внук Нурарихёна: Тысячелетняя столица духов,Nurarihyon no Mago: Sennen Makyou / NuraMago2,"['Экшен', 'Демоны', 'Сёнен', 'Сверхъестественное']",7.9,2011
693,Красавица-воин Сейлор Мун: Сейлор-звезды,Bishoujo Senshi Sailor Moon: Sailor Stars / Sailor Stars,"['Приключения', 'Комедия', 'Драма', 'Фэнтези', 'Романтика', 'Сёдзе', 'Махо-сёдзё']",7.9,1996
694,Дело ведёт юный детектив Киндаити,Kindaichi Shounen no Jikenbo,"['Детектив', 'Сёнен']",7.9,1997
695,В поисках полной луны,Full Moon wo Sagashite / FMwS,"['Комедия', 'Драма', 'Музыка', 'Романтика', 'Сёдзе', 'Сверхъестественное']",7.9,2002
696,Ван-Пис: Жестокий мир — Эпизод 0,One Piece Film: Strong World Episode 0,"['Приключения', 'Фэнтези', 'Сёнен']",7.9,2010
697,Хикару и го: Кубок Северной Звезды,Hikaru no Go: Hokuto Hai e no Michi,"['Игры', 'Сёнен']",7.9,2004
698,Осомацу-сан,Osomatsu-san,"['Комедия', 'Пародия', 'Гэг юмор']",7.9,2015
699,Мобильный воин Гандам: Удар молнии,Kidou Senshi Gundam: Thunderbolt,"['Драма', 'Фантастика', 'Экшен', 'Военное', 'Космос', 'Меха']",7.9,2015
700,Так сложно любить отаку,Wotaku ni Koi wa Muzukashii / Otakoi,"['Романтика', 'Взрослые сейю', 'Культура отаку', 'Работа']",7.9,2018
701,Судьба/Великий приказ: Вавилония,Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['Экшен', 'Фэнтези', 'Сверхъестественное', 'Исекай']",7.9,2019
702,Так сложно любить отаку OVA,Otaku ni Koi wa Muzukashii: Youth,"['Романтика', 'Взрослые сейю', 'Культура отаку', 'Работа']",7.9,2019
703,Калейдоскоп фантазий: Воспоминания о фантазме,Gensou Mangekyou: The Memories of Phantasm,['Фэнтези'],7.9,2011
704,Унеси меня на Луну: Дни старшей школы,Tonikaku Kawaii: Joshikou-hen,"['Комедия', 'Романтика', 'Сёнен']",7.9,Онгоинг
705,Царство,Kingdom,"['Экшен', 'Исторический', 'Военное', 'Сейнен']",7.9,2012
706,Триплексоголик: Сон в летнюю ночь,xxxHOLiC Movie: Manatsu no Yoru no Yume / XXX Holic,"['Комедия', 'Детектив', 'Драма', 'Сверхъестественное', 'Психологическое', 'Сейнен']",7.9,2005
707,Наброски Хидамари x Соты,Hidamari Sketch x Honeycomb / honeycomb,"['Комедия', 'Школа', 'CGDCT', 'Ияшикей', 'Изобразительное искусство']",7.9,2012
708,Трусливый велосипедист,Yowamushi Pedal,"['Сёнен', 'Спорт', 'Машины']",7.9,2013
709,История кошки: Чёрная глава,Nekomonogatari: Kuro,"['Комедия', 'Романтика', 'Сверхъестественное', 'Этти']",7.9,2012
710,Ты и я 2 сезон,Kimi to Boku. 2,"['Комедия', 'Драма', 'Романтика', 'Школа', 'Сёнен', 'Повседневность', 'Ияшикей']",7.9,2012
711,История цветов,Hanamonogatari,"['Комедия', 'Детектив', 'Сверхъестественное']",7.9,2014
712,"Кланнад: Другой мир, глава Томоё","Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","['Драма', 'Романтика', 'Школа']",7.9,2008
713,Связь сердец: По случайному пути,Kokoro Connect: Michi Random,"['Драма', 'Романтика', 'Школа', 'Сверхъестественное']",7.9,2012
714,Брошенный кролик: Спецвыпуски,Usagi Drop Specials,"['Повседневность', 'Дзёсей', 'Уход за детьми', 'Ияшикей']",7.9,2011
715,Мобильный воин Гандам: Удар молнии — Декабрьское небо,Kidou Senshi Gundam: Thunderbolt - December Sky,"['Драма', 'Фантастика', 'Экшен', 'Военное', 'Космос', 'Меха']",7.9,2016
716,Судьба/Девочка-волшебница Иллия: Клятва под снегом,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,"['Экшен', 'Фэнтези']",7.9,2017
717,Промар,PROMARE,"['Экшен', 'Меха', 'Фантастика', 'Супер сила']",7.9,2019
718,Расколотая битвой синева небес 4,Doupo Cangqiong 4th Season,"['Экшен', 'Приключения', 'Демоны', 'Фэнтези', 'Боевые искусства', 'Романтика', 'Сверхъестественное']",7.9,2021
719,Покорение горизонта,Log Horizon,"['Экшен', 'Приключения', 'Фэнтези', 'Взрослые сейю', 'Игры']",7.9,2013
720,Трапеция,Kuuchuu Buranko,"['Драма', 'Психологическое', 'Медицина']",7.9,2009
721,Огни Пёстрой арены,Kaleidostar,"['Комедия', 'Драма', 'Фэнтези', 'Исполнительское искусство']",7.9,2003
722,Стальная тревога! Новый рейд,Fullmetal Panic! The Second Raid / TSR,"['Экшен', 'Меха', 'Военное']",7.9,2005
723,"Акаги, легенда маджонга",Touhai Densetsu Akagi: Yami ni Maiorita Tensai,"['Игры', 'Психологическое', 'Триллер', 'Сейнен', 'Взрослые сейю', 'Игра с высокими ставками', 'Организованная преступность']",7.9,2005
724,Рыбка Поньо на утёсе,Gake no Ue no Ponyo,"['Приключения', 'Фэнтези', 'Удостоено наград']",7.9,2008
725,Блич,bleach tv,"['Экшен', 'Сёнен', 'Приключения', 'Фэнтези']",7.9,2004
726,Триган: Переполох в пустошах,Trigun: Badlands Rumble / trigun movie,"['Экшен', 'Фантастика', 'Приключения', 'Сёнен', 'Взрослые сейю']",7.9,2010
727,История любви Тамако,Tamako Love Story,"['Романтика', 'Повседневность', 'Удостоено наград']",7.9,2014
728,Живая любовь! Проект «Школьный идол» (2015),Love Live! The School Idol Movie,"['Музыка', 'Школа', 'Повседневность', 'Идолы (девушки)', 'Удостоено наград']",7.9,2015
729,Темнее чёрного: Чёрный контрактор — Гайдэн,Darker than Black: Kuro no Keiyakusha Gaiden,"['Экшен', 'Детектив', 'Фантастика', 'Супер сила']",7.9,2010
730,Великий из бродячих псов: Сгнившее яблоко,Bungou Stray Dogs: Dead Apple,"['Экшен', 'Детектив', 'Сверхъестественное', 'Супер сила', 'Взрослые сейю', 'Организованная преступность', 'Сейнен']",7.9,2018
731,Повелитель 3 сезон,OVERLORD III,"['Приключения', 'Экшен', 'Фэнтези', 'Исекай']",7.9,2018
732,Задержи этот звук!,Kono Oto Tomare!,"['Драма', 'Школа', 'Сёнен', 'Музыка', 'Романтика', 'Исполнительское искусство']",7.9,2019
733,Заказывали кролика? 3 сезон,Gochuumon wa Usagi desu ka? Bloom,"['Повседневность', 'CGDCT', 'Ияшикей', 'Работа']",7.9,2020
734,Городской охотник,City Hunter,"['Комедия', 'Детектив', 'Сёнен', 'Экшен']",7.9,1987
735,Детектив Конан OVA 09: Незнакомец через 10 лет...,Detective Conan OVA 09: The Stranger in 10 Years...,"['Приключения', 'Комедия', 'Детектив', 'Полиция', 'Сёнен']",7.9,2009
736,Ди — охотник на вампиров: Жажда крови,Vampire Hunter D (2000) / Bloodlust,"['Экшен', 'Драма', 'Фэнтези', 'Ужасы', 'Романтика', 'Фантастика', 'Вампиры']",7.9,2001
737,Японская свежая выпечка,Yakitate Japan,"['Комедия', 'Сёнен', 'Гурман']",7.9,2004
738,Скет Данс OVA,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,"['Комедия', 'Школа', 'Сёнен']",7.9,2013
739,Айшилд 21,Eyeshield 21,"['Сёнен', 'Спорт', 'Командный спорт']",7.9,2005
740,Азбука цветов,Hanasaku Iroha,"['Драма', 'Работа']",7.9,2011
741,Буря потерь,Zetsuen no Tempest,"['Экшен', 'Детектив', 'Психологическое', 'Драма', 'Фэнтези', 'Сёнен']",7.9,2012
742,Пластиковые воспоминания,Plastic Memories,"['Фантастика', 'Драма', 'Романтика']",7.9,2015
743,Последняя фантазия 7: Дети пришествия — Полное издание,Final Fantasy VII: Advent Children Complete / FFVIIAC,"['Экшен', 'Фэнтези', 'Супер сила']",7.9,2009
744,Лилии на ветру 3 сезон,Yuru Yuri San☆Hai!,"['Комедия', 'Школа', 'Сёдзе Ай', 'CGDCT', 'Гэг юмор']",7.9,2015
745,Повелитель,Overlord,"['Экшен', 'Фэнтези', 'Приключения', 'Исекай']",7.9,2015
746,Код Гиас: Лелуш Воскресший,Code Geass: Fukkatsu no Lelouch / geass3,"['Драма', 'Экшен', 'Военное', 'Супер сила', 'Меха', 'Фантастика']",7.9,2019
747,Аватар короля 2,Quanzhi Gaoshou 2,"['Экшен', 'Игры']",7.9,2020
748,У Коми проблемы с общением,"Komi-san wa, Comyushou desu.","['Комедия', 'Школа', 'Сёнен', 'Романтический подтекст']",7.9,2021
749,Эрго Прокси,Ergo Proxy,"['Детектив', 'Фантастика', 'Психологическое']",7.9,2006
750,Наброски Хидамари x ☆☆☆,Hidamari Sketch x ☆☆☆,"['Комедия', 'Повседневность', 'Школа', 'CGDCT', 'Ияшикей', 'Изобразительное искусство']",7.9,2010
751,Кафе «У Белого Медведя»,Shirokuma Cafe,"['Комедия', 'Повседневность', 'Дзёсей', 'Антропоморфизм', 'Гэг юмор', 'Ияшикей', 'Работа']",7.9,2012
752,Мобильный воин Гандам Зета,Kidou Senshi Zeta Gundam,"['Драма', 'Меха', 'Фантастика', 'Космос', 'Военное', 'Романтика']",7.9,1985
753,"Прощай, унылый учитель 2 сезон",Zoku Sayonara Zetsubou Sensei / szs2,"['Комедия', 'Пародия', 'Школа', 'Сёнен', 'Гэг юмор']",7.9,2008
