,russian_title,itm_title,ganers,rating,year
81,Судьба/Ночь схватки: Прикосновение небес 3,Fate/stay night Movie: Heaven's Feel - III. Spring Song / FSN HF,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.7,2020
82,Случайное такси,Odd Taxi,"['Детектив', 'Антропоморфизм', 'Удостоено наград']",8.7,2021
83,Магическая битва 2 сезон,Jujutsu Kaisen 2nd Season,"['Фэнтези', 'Экшен', 'Школа', 'Сёнен']",8.7,Онгоинг
84,Принцесса Мононоке,Mononoke-hime,"['Экшен', 'Приключения', 'Фэнтези', 'Удостоено наград']",8.7,1997
85,Вайолет Эвергарден,Violet Evergarden,"['Драма', 'Фэнтези']",8.7,2018
86,Ходячий замок,Howl no Ugoku Shiro,"['Удостоено наград', 'Приключения', 'Драма', 'Фэнтези', 'Романтика']",8.7,2004
87,Мастер муси,Mushishi,"['Приключения', 'Исторический', 'Детектив', 'Сейнен', 'Повседневность', 'Сверхъестественное', 'Взрослые сейю', 'Ияшикей']",8.7,2005
88,Первый шаг: Новый вызов,Hajime no Ippo: New Challenger / HNI2,"['Сёнен', 'Спорт', 'Боевые искусства']",8.7,2009
89,Созданный в Бездне,Made in Abyss,"['Фантастика', 'Приключения', 'Детектив', 'Драма', 'Фэнтези', 'Кровь', 'Выживание']",8.7,2017
90,"Созданный в Бездне: Солнце, вспыхнувшее в Золотом городе",Made in Abyss: Retsujitsu no Ougonkyou,"['Кровь', 'Выживание', 'Фантастика', 'Приключения', 'Детектив', 'Драма', 'Фэнтези']",8.7,2022
91,Твоя апрельская ложь,Shigatsu wa Kimi no Uso / kimiuso,"['Драма', 'Музыка', 'Романтика', 'Школа', 'Сёнен', 'Любовный многоугольник']",8.7,2014
92,Тетрадь дружбы Нацумэ 4 сезон,Natsume Yuujinchou Shi / ny4,"['Драма', 'Сёдзе', 'Повседневность', 'Сверхъестественное', 'Демоны', 'Ияшикей']",8.6,2012
93,Госпожа Кагуя: в любви как на войне 2 сезон,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"['Комедия', 'Психологическое', 'Школа', 'Сейнен', 'Романтический подтекст']",8.6,2020
94,"Гуррен-Лаганн, пронзающий небеса",Tengen Toppa Gurren Lagann / Gurren Lagann,"['Экшен', 'Приключения', 'Меха', 'Фантастика', 'Удостоено наград']",8.6,2007
95,Волейбол!! 2 сезон,Haikyuu!! 2,"['Спорт', 'Школа', 'Сёнен', 'Командный спорт']",8.6,2015
96,Созданный в Бездне: Рассвет глубокой души,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"['Кровь', 'Выживание', 'Фантастика', 'Приключения', 'Детектив', 'Драма', 'Фэнтези']",8.6,2020
97,Магическая битва,Jujutsu Kaisen,"['Экшен', 'Сёнен', 'Школа', 'Фэнтези', 'Удостоено наград']",8.6,2020
98,Невероятное приключение ДжоДжо: Каменный океан. Часть 3,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,"['Экшен', 'Приключения', 'Сверхъестественное', 'Сёнен']",8.6,2022
99,Великий из бродячих псов 5 сезон,Bungou Stray Dogs 5th Season,"['Экшен', 'Детектив', 'Сверхъестественное', 'Взрослые сейю', 'Организованная преступность', 'Супер сила', 'Сейнен']",8.6,Онгоинг
100,Пинг-понг,Ping Pong the Animation / pingpong,"['Спорт', 'Сейнен', 'Удостоено наград', 'Драма']",8.6,2014
101,Тетрадь смерти,Death Note,"['Сверхъестественное', 'Психологическое', 'Триллер', 'Сёнен', 'Полиция']",8.6,2006
102,Тетрадь дружбы Нацумэ 6 сезон,Natsume Yuujinchou Roku / natsume6,"['Демоны', 'Драма', 'Сёдзе', 'Повседневность', 'Сверхъестественное', 'Ияшикей']",8.6,2017
103,Атака титанов 3 сезон,Shingeki no Kyojin Season 3 / SnK3,"['Экшен', 'Драма', 'Военное', 'Сёнен', 'Кровь', 'Выживание']",8.6,2018
104,"Клинок, рассекающий демонов: Бесконечный поезд. Фильм",Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['Исторический', 'Сёнен', 'Экшен', 'Фэнтези']",8.6,2020
105,Исчезновение Харухи Судзумии,Suzumiya Haruhi no Shoushitsu / Haruhi Movie,"['Детектив', 'Школа', 'Фантастика', 'Сверхъестественное', 'Удостоено наград']",8.6,2010
106,Киберпанк: Бегущие по краю,Cyberpunk: Edgerunners,"['Фантастика', 'Экшен', 'Кровь', 'Психологическое']",8.6,2022
107,Семья шпиона,Spy x Family,"['Экшен', 'Комедия', 'Сёнен', 'Уход за детьми', 'Удостоено наград']",8.6,2022
108,Евангелион 3.0+1.01: Как-то раз,Evangelion 4.0,"['Экшен', 'Меха', 'Фантастика', 'Психологическое', 'Драма', 'Удостоено наград', 'Триллер']",8.6,2021
109,Этот глупый свин не понимает мечту девочки-зайки. Фильм,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['Романтика', 'Школа', 'Сверхъестественное', 'Драма']",8.6,2019
110,Первый шаг: Восхождение,Hajime no Ippo: Rising / hni3,"['Сёнен', 'Спорт', 'Боевые искусства']",8.6,2013
111,Мастер муси: Следующая глава — Капли колокольчиков,Mushishi Zoku Shou: Suzu no Shizuku,"['Приключения', 'Детектив', 'Исторический', 'Повседневность', 'Сверхъестественное', 'Сейнен', 'Взрослые сейю', 'Ияшикей']",8.6,2015
112,Волчьи дети Амэ и Юки,Ookami Kodomo no Ame to Yuki,"['Фэнтези', 'Повседневность', 'Уход за детьми', 'Удостоено наград']",8.6,2012
113,Невероятное приключение ДжоДжо: Золотой ветер,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze / JJBA 2018,"['Экшен', 'Приключения', 'Сёнен', 'Организованная преступность', 'Сверхъестественное']",8.6,2018
114,Человек-бензопила,Chainsaw Man,"['Экшен', 'Сёнен', 'Кровь', 'Фэнтези']",8.6,2022
115,Тетрадь дружбы Нацумэ 3 сезон,Natsume Yuujinchou San / ny3,"['Демоны', 'Драма', 'Сёдзе', 'Повседневность', 'Сверхъестественное', 'Ияшикей']",8.6,2011
116,Берсерк,Kenpuu Denki Berserk,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Ужасы', 'Военное', 'Сейнен', 'Кровь']",8.6,1997
117,Гуррен-Лаганн: Звёздный свет,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen / ttgl movie 2,"['Экшен', 'Меха', 'Фантастика', 'Космос', 'Супер сила']",8.6,2009
118,Сёва-Гэнроку: Двойное самоубийство по ракуго,Shouwa Genroku Rakugo Shinjuu,"['Драма', 'Дзёсей', 'Исторический', 'Любовный многоугольник', 'Исполнительское искусство']",8.6,2016
119,Тетрадь дружбы Нацумэ 5 сезон,Natsume Yuujinchou Go / natsume5,"['Демоны', 'Драма', 'Сёдзе', 'Повседневность', 'Сверхъестественное', 'Ияшикей']",8.6,2016
120,Истории ран. Часть 2: Горячая кровь,Kizumonogatari II: Nekketsu-hen,"['Экшен', 'Вампиры', 'Сверхъестественное', 'Детектив']",8.6,2016
121,Сказ о четырёх с половиной татами,Yojouhan Shinwa Taikei / Yojouhan,"['Детектив', 'Романтика', 'Психологическое', 'Комедия', 'Путешествие во времени', 'Удостоено наград']",8.6,2010
122,Я хочу съесть твою поджелудочную,Kimi no Suizou wo Tabetai / Kimisui,"['Драма', 'Романтика', 'Школа']",8.6,2018
123,Агент времени 2,Shiguang Dailiren II,"['Драма', 'Сверхъестественное', 'Путешествие во времени', 'Взрослые сейю']",8.6,Онгоинг
124,Судьба/Начало 2 сезон,Fate/Zero 2nd Season,"['Экшен', 'Сверхъестественное', 'Фэнтези']",8.6,2012
125,Тетрадь дружбы Нацумэ 2 сезон,Zoku Natsume Yuujinchou / ny2,"['Драма', 'Сёдзе', 'Повседневность', 'Сверхъестественное', 'Демоны', 'Ияшикей']",8.6,2009
126,Евангелион нового поколения: Конец Евангелиона,Shinseiki Evangelion Gekijouban: The End of Evangelion / EoE,"['Фантастика', 'Безумие', 'Психологическое', 'Драма', 'Меха']",8.6,1997
127,Корзинка фруктов 2 сезон,Fruits Basket TV-2,"['Драма', 'Романтика', 'Сёдзе', 'Сверхъестественное', 'Школа']",8.6,2020
128,Идеальная грусть,Perfect Blue,"['Драма', 'Ужасы', 'Психологическое', 'Безумие', 'Взрослые сейю', 'Шоу-бизнес']",8.5,1998
129,Слэм-данк,Slam Dunk!,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.5,1993
130,Нана,Nana,"['Драма', 'Музыка', 'Романтика', 'Сёдзе', 'Взрослые сейю', 'Любовный многоугольник']",8.5,2006
131,Атака титанов,Shingeki no Kyojin,"['Экшен', 'Драма', 'Сёнен', 'Удостоено наград', 'Триллер', 'Военное', 'Кровь', 'Выживание']",8.5,2013
132,Девичья опера: Свет ревю. Фильм,Shoujo☆Kageki Revue Starlight Movie,"['Музыка', 'Школа', 'Исполнительское искусство']",8.5,2021
133,Волейбол!! К вершине 2 сезон,Haikyuu!! To the Top Part 2,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.5,2020
134,Рейтинг короля,Ousama Ranking,"['Приключения', 'Фэнтези']",8.5,2021
135,Бакуман 3 сезон,Bakuman. 3rd Season,"['Комедия', 'Драма', 'Романтика', 'Сёнен', 'Культура отаку']",8.5,2012
136,"Мастер муси: Тень, поглотившая Солнце",Mushishi: Hihamukage,"['Приключения', 'Детектив', 'Исторический', 'Повседневность', 'Сверхъестественное', 'Сейнен', 'Ияшикей', 'Взрослые сейю']",8.5,2014
137,Врата Штейна 0 сезон,Steins;Gate 0 сезон,"['Фантастика', 'Триллер', 'Драма', 'Путешествие во времени']",8.5,2018
138,Лагерь на свежем воздухе 2 сезон,Yuru Camp△ Season 2,"['Повседневность', 'CGDCT', 'Ияшикей']",8.5,2021
